Product Title,Cost,7 Day Sale,Total Sale,Review,Favorite,Cost_Group,Favorite_Group,Review_Group
Unfinished Wooden Ballet Dress Shape - Craft - up to 36,0.34,2,20.0,4,10,0,0,0
"Mothers Day digital stamps, Cute bear digital stamps, Mom digital stamps, Mum digital stamps, Mothers Day Clipart, Commercial Use (S48)",1.27,1,23.0,4,9,0,0,0
"1 m Red + 3 Zipper Zipper, Endless Zipper, Zipper, Zip Pzip, Zipp, Zip, Zipper, Sewing Accessories, Fabric",1.36,16,25.0,4,6,0,0,0
Planar- flatback- resin charms- bow centers- pendants- badge reels- epoxy charms- resin Charms- cabochons- flatback planars- planars - charm,1.85,17,26.0,4,4,0,0,0
"SALE!!!! Birch Dowel, 1",0.52,21,26.0,5,8,0,0,0
Raw Natural Wood Rabbit Clip for Pacifier Clip,1.94,43,61.0,5,5,0,0,0
Gold O Jump Rings Set of 5,0.72,0,26.0,5,5,0,0,0
SINGLE SAMPLE Wax Seal - Self Adhesive Wax Seal Sticker for Envelope - Wedding Invitation Detail - Flat Lay Detail for Event Photography,1.0,1,23.0,5,4,0,0,0
Sale 23,0.75,2,26.0,5,2,0,0,0
100 Days of Kindergarten Svg Png| Funny Teacher & Students Gift| 100th Day of School| Got Me Feeling Cray Cray Svg| Layered Digital Files,1.49,50,55.0,5,7,0,0,0
Grey 025 Kreinik Metallics Blending Filament 50 meters (55 yards) - 1 spool,1.3,2,24.0,5,2,0,0,0
"Army 75th Ranger Regiment Unit Crest bLack -Clip Art leopard  -  Cricut, Silhouette sublimation  -  png - Shield, military, Arm",0.99,44,69.0,5,10,0,0,0
Set of 2 or 10 Lead Arrows for X-Ray Markers - Unmounted Flat Face Lead Letters - Small Metal Letter -1/2,1.0,1,24.0,5,8,0,0,0
15 mm x 1 meter rubber band elastic band elastic folding elastic bias tape JGA hair ties hairties double flash flash M1225,1.71,54,54.0,5,9,0,0,0
10 Yards Boucle Twine (Purple) Novelty Trim String Fibers Scrapbooks Mixed Media Journals Tags Art Yarn Crafts Collage Cards Embellishments,1.2,14,22.0,5,9,0,0,0
"A4 Size - Soft Macaron Pastel Candy PU Synthetic Faux Leather Sheets Vinyl for Bows, Earrings, Bags",1.99,1,22.0,5,9,0,0,0
Arrowhead - Polymer Clay Cutter Set,2.0,0,3.0,0,10,1,0,0
"ship faced, drinking,anchor",2.0,0,4.0,0,9,1,0,0
Small Town Girl Brushstroke Tumbler Wrap PNG | Western PNG | Sublimation Tumbler,2.0,35,101.0,0,2,1,0,0
Get well soon PDF Pattern only,2.0,0,1.0,0,0,1,0,0
Confetti Punches | Small scale punch | Butterfly  | Sunburst,2.0,0,1.0,0,2,1,0,0
4mm FLAT COTTON Cord - 5 Yards LIGHT Gray 4x1mm Wax Cotton Cord - Polished Strong Lightly Waxed Cotton - For Diy Wrap Beading Bracelets,2.0,44,44.0,0,3,1,0,0
100% Wool Felt - Blue Bonnet - 9,2.0,0,0.0,0,3,1,0,0
"Byte me SVG | bite me, floppy disk, nerd, geek humor, digital download",2.0,0,2.0,0,4,1,0,0
"Collage sheet template, 14 mm / 0,55",2.0,0,2.0,0,4,1,0,0
Cute but Stabby PNG | Horror Halloween PNG,2.0,34,100.0,0,7,1,0,0
"Third grade svg, Rainbow School svg, Back to School svg, Teacher svg, 3rd grade svg cricut Cut file Digital download",2.0,0,4.0,0,7,1,0,0
Baby Feet SVG/ Cutting File/ Instant Download/ Silhouette/ Cricut,2.0,0,4.0,0,8,1,0,0
Seamless Floral Tulips Tumbler Wrap Sublimation Designs - Skinny Tumbler 20oz Design - PNG - EmmePrintco,2.0,2,4.0,0,9,1,0,0
"Digital Vintage Book Pages and Ephemera Printable No. 23 For Junk Journaling, Digital Scrapbooking and Paper Crafting",2.0,2,18.0,0,9,1,0,0
"zipper end head,zipper tail clasp,silver zipper end,end caps,zipper stop,zipper pull,zipper head,zipper end caps",2.0,0,7.0,0,9,1,0,0
Outdoor and Butterfly shoe charms,2.0,15,24.0,4,9,1,0,0
